100	149	621	690
200	299	1440	1588
300	449	2356	2560
400	599	3311	3572
500	749	4274	4604
600	899	5337	5704
700	1049	6401	6838
800	1199	7467	7954
900	1349	8513	9076
1000	1499	9568	10208
