4	4	5
8	12	17
16	32	49
32	80	129
64	192	321
128	448	769
256	1024	1793
512	2304	4097
1024	5120	9217
4	5	8
8	13	21
16	33	54
32	81	135
64	193	328
128	449	777
256	1025	1802
512	2305	4107
1024	5121	9228
4	5	8
8	13	21
16	33	54
32	81	135
64	193	328
128	449	777
256	1025	1802
512	2305	4107
1024	5121	9228
4	5	8
8	13	21
16	33	54
32	81	135
64	193	328
128	449	777
256	1025	1802
512	2305	4107
1024	5121	9228
